epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.1852077377,0.4710488779,1,0.0664891197,0.4612628563
1,0.1865330465,0.384406331,1,0.0666386954,0.4433430535
2,0.186637101,0.3730893336,1,0.0666834297,0.4356778277
3,0.1866470562,0.3684536533,1,0.0666396171,0.4384832887
4,0.1866845641,0.3640641065,1,0.0666884327,0.4284481425
5,0.186711965,0.3628728111,1,0.0666944781,0.4256505063
6,0.1867810723,0.3606748659,1,0.0666986525,0.4256772813
7,0.1867119258,0.3592868389,1,0.0666900706,0.4244650004
8,0.1867148318,0.3588613145,1,0.066693667,0.4228891548
9,0.1867695094,0.3558987884,1,0.0666816135,0.4297212296
10,0.1867327631,0.3571935449,1,0.0666869458,0.4221241491
11,0.1867004496,0.3557841184,1,0.0666999757,0.4215153383
12,0.1867316747,0.353665308,1,0.0667037129,0.4191914192
13,0.1867839143,0.3543407547,1,0.0667016301,0.421666028
14,0.186728305,0.3539916079,1,0.066702492,0.4204654467
15,0.1867043987,0.3524811631,1,0.066703058,0.4264136929
16,0.1867278401,0.3530852424,1,0.0667039728,0.4199004902
17,0.1867255603,0.3533426829,1,0.0667028848,0.4189600917
18,0.1867310184,0.3522043668,1,0.066701548,0.4211373355
19,0.1867893308,0.3519379512,1,0.06670346,0.418042737
20,0.1867309959,0.3514025067,1,0.0667036942,0.4162666197
21,0.1867452283,0.3515407831,1,0.0667043655,0.4168175985
22,0.1867459508,0.3514612969,1,0.0667039317,0.4171719272
23,0.1867477131,0.3504770508,1,0.0667041721,0.4158834349
24,0.1867503323,0.3505225559,1,0.0667034235,0.4163475207
25,0.1867382799,0.3508403673,1,0.0666912728,0.435433097
26,0.1867404751,0.3505027654,1,0.066702085,0.4203407207
27,0.1867450205,0.3506903868,1,0.0667027201,0.4178724377
28,0.1867336443,0.3499614471,1,0.0667034364,0.4172555829
29,0.1867505013,0.3492504448,1,0.0667032814,0.4154878288
30,0.1868186306,0.34969599,1,0.0667049203,0.4193620933
31,0.1867425931,0.3498945848,1,0.0667041235,0.4144912505
32,0.1867367082,0.3490698148,1,0.0667036878,0.41569582
33,0.186739632,0.3495735961,1,0.0667049978,0.4192231158
34,0.1867426003,0.3487382329,1,0.066704341,0.41450584
35,0.1867343635,0.3495164488,1,0.0667031387,0.4184799507
36,0.1867631083,0.3481997459,1,0.0667039608,0.4149970665
37,0.186727088,0.3481175236,1,0.0667033465,0.4161836599
38,0.1867460275,0.3485050986,1,0.0667039894,0.4138871941
39,0.1867594039,0.3484287439,1,0.0667029638,0.419450787
40,0.1867627448,0.3483780893,1,0.066704123,0.4139333748
41,0.1867406451,0.3492957152,1,0.0667040467,0.4134155584
42,0.1867599684,0.3474566832,1,0.0667029189,0.4202077913
43,0.1867505266,0.3477355813,1,0.0667044975,0.4137000505
44,0.1867588556,0.3480199428,1,0.0667041756,0.4167676613
45,0.186765521,0.3481856943,1,0.0667043876,0.4126511726
46,0.1867542693,0.3475189503,1,0.0667049921,0.4134204403
47,0.1867475193,0.3474552004,1,0.0667041961,0.4179464847
48,0.1867575552,0.3475434368,1,0.0667040496,0.4179892569
49,0.1867569314,0.3468356282,1,0.0667049497,0.4133603362
50,0.1867567235,0.3471949238,1,0.0667050505,0.4130490725
51,0.1867612427,0.3472278596,1,0.0667046441,0.4131664546
52,0.1867523369,0.3467910219,1,0.0667035532,0.4263528566
53,0.1867693344,0.3471120385,1,0.0667052749,0.4184718054
54,0.1867600333,0.3469064311,1,0.0667053176,0.4169610568
55,0.1867585489,0.3468377114,1,0.0667049674,0.4139332893
56,0.1867576731,0.3467591743,1,0.0667037739,0.4172808881
57,0.1867641689,0.3445246249,0.1,0.0667049896,0.4114289132
58,0.1867714003,0.3441535293,0.1,0.0667047257,0.4122593194
59,0.1867699143,0.3440698549,0.1,0.0667048475,0.4116547518
60,0.1867693553,0.3439891689,0.1,0.0667048313,0.4116508471
61,0.1867687597,0.3439481373,0.1,0.0667049815,0.4112092917
62,0.1867699891,0.3439316619,0.1,0.0667046053,0.4119583234
63,0.1867682459,0.3439187915,0.1,0.0667049451,0.4112057697
64,0.18676935,0.3438512869,0.1,0.0667049042,0.4112684178
65,0.186767696,0.3438632157,0.1,0.0667050447,0.4111089413
66,0.1867682419,0.3437924659,0.1,0.0667050834,0.4109827605
67,0.1867676883,0.3438125724,0.1,0.0667050263,0.4110211203
68,0.1867671948,0.3438052793,0.1,0.0667050467,0.4111506317
69,0.1867682017,0.343738584,0.1,0.0667049735,0.4109448471
70,0.1867681494,0.3437488087,0.1,0.0667050346,0.4109811016
71,0.1867673016,0.3437181331,0.1,0.0667050547,0.4110386006
72,0.1867671767,0.3437184318,0.1,0.0667049856,0.4108975064
73,0.1867686474,0.3436911698,0.1,0.0667049165,0.4110975603
74,0.186767307,0.3436721729,0.1,0.0667050183,0.4108043914
75,0.1867681584,0.3436582934,0.1,0.066704949,0.4108935566
76,0.1867673515,0.3436342069,0.1,0.0667048801,0.4111594213
77,0.1867675995,0.3436010537,0.1,0.0667048473,0.4112075696
78,0.1867680237,0.343595252,0.1,0.0667049125,0.4110650121
79,0.1867672519,0.3435702839,0.1,0.0667049653,0.4107914996
80,0.1867676676,0.3435423926,0.1,0.0667048717,0.4112350379
81,0.1867676338,0.3435408321,0.1,0.0667049125,0.4109272597
82,0.1867682361,0.3435239348,0.1,0.0667049652,0.4107404996
83,0.1867685752,0.3435165862,0.1,0.0667048636,0.4109741016
84,0.186768421,0.3435131885,0.1,0.0667048858,0.4108059549
85,0.1867672673,0.3435150507,0.1,0.0667049044,0.410810397
86,0.1867676208,0.3433686064,0.01,0.0667049207,0.4107867164
87,0.186768237,0.3433585541,0.01,0.0667049085,0.4108287307
88,0.1867682767,0.3433521127,0.01,0.0667049004,0.4108521773
89,0.1867679266,0.3433525625,0.01,0.0667049288,0.4107878044
90,0.1867676952,0.3433500188,0.01,0.0667049207,0.4107787311
91,0.1867681404,0.3433477864,0.01,0.0667049207,0.4107797568
92,0.1867681506,0.3433447075,0.01,0.0667048739,0.410882302
93,0.1867681229,0.3433393877,0.01,0.0667049166,0.4107970909
94,0.1867681587,0.3433453888,0.01,0.0667049166,0.410831273
95,0.1867680298,0.3433430276,0.01,0.0667049207,0.4107579865
96,0.1867684869,0.3433271304,0.001,0.0667049207,0.4107765425
97,0.1867683061,0.3433255729,0.001,0.0667049166,0.4107827636
98,0.1867682912,0.3433249731,0.001,0.0667049166,0.4107908765
